,Customer Name,Date,Ratings,Review Title,Reviews
18,sharda devi,16 November 2020,4.0 out of 5 stars,Working fine!! Must go for bigger version,"It is a perfect OTG for beginners not much function just a simple timer button and it have bell that rings loudly I like that, temperature upto 300 degree is fine in 10 ltr version.What I want to suggest that go for a 20 ltr or 16 ltr version because even if you are two member family anything less than 16 ltr will not serve the purpose I did a mistake and somehow I kept this.Overall it's a good OTG for beginners"
19,TK,17 October 2020,4.0 out of 5 stars,(Almost) the perfect airfryer,"I'm reviewing this 3 months after my purchase. I use this every weekend. 90% of usage is to make frozen items like chicken popcorn, nuggets, shami kebabs, and frozen samosas.. The device does a great job of cooking these.. The timer and temperature dials are easy to use.  The only problem I've had with the device is that the pan has started to erode in 2 months of light use.. I use a soft sponge to clean it, so that the coating doesn't come off, but in certain parts of the pan rhe coating has come off, which means sometimes food sticks while being cooked"
20,Amazon Customer,13 April 2021,5.0 out of 5 stars,A Very Good Air Fryer,Wanted to buy a good and Affordable Air Fryer for a long time. Finally found the one from Inalsa.Fitted my requirement for 4-5 family members (4L) and perfect price.It was delivered in time by Amazon and in good condition.This Fryer has been a fantastic addition to my kitchen with Low Oil cooking and guilt free eating.The cooking times are excellent and the cleaning is pretty easy with the inner tray removed for cleaning.There are no more oil spillages in the kitchen due to which the kitchen also stays clean.I know for a fact that this appliance is good to be long time cooking partner of mine.Thank You Inalsa.
21,Vidhya,19 February 2021,5.0 out of 5 stars,Awesome buy 👍👌,The best product ever. Perfect in size and awesome quality. Must buy OTG.Trendy design and easy to use. Comes with a instruction manual and recipe book.
22,MOHD,14 March 2021,5.0 out of 5 stars,Superb Technology,Never think the numbers of use before buying this price of technology...
23,sri,23 October 2020,5.0 out of 5 stars,A must product for every kitchen,"Must item for who loves fried foodAs I love pakora and chicken fry and who can't eat without fryums, I found this very useful and can eat guilt free.Love the crispy texture of foodI doubtedly bought this bcoz there are other high priced fryers in market but now feeling happy that I bought thisVery efficient at low price 👍"
24,Sanjukta Mishra,11 August 2020,2.0 out of 5 stars,So my suggestion for others to speak to the seller thoroughly before buying,I had complain about the seller. After I purchased the product the seller lowered the price. I felt cheated.The product is not Indian made as replied by some seller . It is Chinese made . So I am very disappointed. Working wise it is very slow. So overall I am not satisfied.
25,Ria Bhadani,27 November 2019,1.0 out of 5 stars,Worst service. Poor quality product.,"The product had a manufacturing defect due to which there was no heating. From past 8 mobths, I have only been chasing the customer support executive, while the product sits useless on my kitchen shelf. I would never recommend anyone to buy this product."
26,A,7 July 2019,1.0 out of 5 stars,Worst experience,Received a defective product... The customer service of inalsa is very poor.... Registered a complaint at inalsa customer service... There was no response.... I have returned the product...
27,pragya bhargava,21 September 2020,4.0 out of 5 stars,Perfect for a small family of 2-3 people as the size is small,I got this OTG after going through soo many other OTGs online and I must say that this a perfect OTG for a small family for 2-3 people. The size is pretty small so do consider that. I managed to cook a medium size pizza. But quality and the heating is good. If you have a small family then you can definitely go for this one. Other than the size I loved the product😍
28,Deepashri Karandikar,16 September 2020,5.0 out of 5 stars,Just what I wanted,"Though slightly smaller than my expectations, this OTG has given me wonderful results so far. I have made cakes, paneer tikkas and pizzas so far, and all were really well done. The pizza base turned out so good, I dont think i will every buy ready-made bases henceforth."
29,Purnima,29 January 2021,5.0 out of 5 stars,Happy purchase," I must say after much analysis of brands with Inalsa air frier I am happy with this purchase. It's really nice, easy to handle, can cook from a papad to soya chaap. Healthy way of cooking over Microwave and deep frying."
30,khalid parvez,6 October 2020,4.0 out of 5 stars,Sturdy but utility product,Useful and but bucket size is small for family of 4For second serving you have to wait for 20 minutesCooks well with a spoon of oilYou have to flip the product to other side and go for second round to get a fully cooked stuffBucket remain super hot take all precautions while using it
31,Pardeep Kumar,20 October 2019,5.0 out of 5 stars,Good but upper models are better,It is good product if you're only vegetarian... i thought i can barbecue the chicken in it bit it doesn't have option for that... but upper models have that.. so i would recommend upper models it is one time purchase so be sure for everything...
32,Anish Sharma,3 October 2019,4.0 out of 5 stars,"Too small,otherwise a good product",Purchased this item as a gift for my 10 years old daughter as she is interested in exploring her bakery skills however it's too small. Can't seem to find baking tools for this size. I grilled some veggies and chicken. Worked great.
33,Sanjay Sharma,28 January 2020,5.0 out of 5 stars,Fantastic product at most competitive price (Gadar),Fantastic product at most reasonable price. Instant hit in my kitchen and family. Does toughest jobs very easily. I can utilize my time for other important jobs while the Inalsa air fryer is doing my cooking jobs.
34,sudeshna,16 August 2020,4.0 out of 5 stars,Healthy option to cook and great value.,Its been a couple of weeks I am using it. Going great so far. Cooks really well with hardly any oil. Very healthy and tasty.Quality of plastic can be a tad better but ofcourse I got what I paid for.
35,shyam prasad sv,31 October 2020,1.0 out of 5 stars,Defective item,"Received defective product. Not able to return as Amazon doesnot have the return policy. They have only replacement. In the name of discounts, Amazon and their team is clearing off the defective items. Not reliable amazon india. ALSO DO NOT BELIEVE THEIR NO COST EMI PLANS. DO NOT FALL PREY TO AMAZON INDIA.THEAE LURING PLANS ARE ONLY BENEFITTING AMAZON INDIA. BANKS ARE ALSO SUPPORTING THIS MENACE."
36,Abdul Nazir,21 March 2021,1.0 out of 5 stars,Replace my air fryer please,"I am from Port Blair, Andaman and Nicobar Islands. On 11th feb 2021 i received one INALSA air fryer during my trip to Chennai. I used the air fryer only once but noticed that its body is getting very hot and from the next day it stopped working. Is there any possibility to replace it now?"
37,Ridhi B.,29 December 2020,1.0 out of 5 stars,Incomplete product,No user manual or booklet provided with the product ! How am I supposed to know how to it works??
38,Debleena,13 April 2021,5.0 out of 5 stars,Must have gadget for healthy kitchen.,"The product is an extremely useful gadget for a healthy kitchen. It is compact and doesn't take too much of kitchen space. There is no noise and it's easy to maintain. Oil usage is reduced to a minimum. We roasted chicken tikka and then fried fish, the outcome was as good as conventional methods but healthier. Very happy with product."
39,Harjot Singh,24 January 2021,5.0 out of 5 stars,Awesome OTG,Its perfect ..i could not have got any better otgit works perfectly fine and is very user friendly
40,Imran Ahmed,24 August 2019,1.0 out of 5 stars,Pleas ignore this item,"Body finishing is below par , tempreture control wheel is so ugly. At first sight it looks a like an unbranded assembled price.Works only for 5 minutes after that totally dead. Waste my time and my chiken also"
41,gautam chaini,7 November 2020,5.0 out of 5 stars,It is so GREAT..Just Go for it,It is really easy to use.. first time I tried Tandoori chicken and it was so yummy. Unlike tawa or oven it was juicy from inside and right texture from outside. My wife is so haapy with the product that she will order one more for her mother. Thank u Inalsa
42,Shabih Kazmi,24 October 2020,4.0 out of 5 stars,Satisfied,"I am totally satisfied with the product. Cooks well, very less oil consumption, will take some time to develop a taste for its food."
43,Kavitha ravi,11 February 2021,5.0 out of 5 stars,Amazing,My first airfryer and am totally happy with it. Tried vegetables and chicken. Awesome result. Yet to explore fully.
44,Abha,6 March 2021,5.0 out of 5 stars,"Convenient, healthy, low-maintenance","Inalsa air fryer is very convenient to use, saves up a lot of oil & keeps us healthy & light. It is low maintenance & easy to clean. We fried french fries & they got ready in no time & we enjoyed our fries guilt-free!"
45,Vision,27 March 2021,5.0 out of 5 stars,Value for money,The product is easy to use with minimal oil requirements. I recommend it to all wanting to decrease their intake.
46,ripy,21 August 2020,3.0 out of 5 stars,poor quality product,Had to return the product the next day because of poor quality of the locking system. the locking system became serviceable after a few operations on the first day itself. The fryer is useless without the locking system.
47,Amazon Customer,12 September 2020,3.0 out of 5 stars,Poor built quality,Built quality very poor. Handle not working within 15 days. Plastic smell in early use. Extremely difficult to clean food basket (food stick to basket holes)
48,guest,6 November 2020,5.0 out of 5 stars,Nice and does the job,"Nice product at a cheap price. Quality is decent for the price. Has temperature  control and timer, both functions well. Small oven for single person use. Only drawback is no light inside and a little difficult to clean after use. I got it at 2050."
49,deepak kulkarni,25 January 2021,5.0 out of 5 stars,Superlative product.. great pricing,Absolutely flawless.. very simple to operate.. easy to clean... very flexible to use... very aptly pricing too
50,PIYALI Bhujbal,10 August 2020,5.0 out of 5 stars,Happy customers,It's a best buy I hv done in amazon.10l is sufficient for family of four.its easy to clean.ehile the hand glove is not very good but serve the purpose
51,Amazon Customer,25 January 2021,3.0 out of 5 stars,Scratch and dent,Received the product today with scratches on baking tray and a dent on back side of the body. I haven’t checked the oven for it’s working condition but this was the initial findings
52,Randeep ,10 December 2020,4.0 out of 5 stars,Ok ok product,"I have got a bit defective product, wherein coating at handle got chipped after some time"
53,Amazon Customer,2 August 2020,1.0 out of 5 stars,Quality of product is as cheap as its price,Since the cost is less you might be tempted to go for this but it does not air fry the items deep inside only on the above surface. Better go for phillips . Also it gives a smell of burning plastic when used.
54,Leon,23 January 2020,4.0 out of 5 stars,Seems to be good,I have just received the product and used it a couple of times. Serves the purpose. Will update later
55,Sanjay Sharma,19 July 2019,1.0 out of 5 stars,Bad Quality,I think I made a mistake buying this... Right side of the body is damaged as mentioned in one of the reviews also... Asked to replace... Don't know if the the replacement piece shall be ok or damaged... fingers crossed
56,Manik,7 March 2021,5.0 out of 5 stars,The best device for cooking oil free and tandoori food,Its a nice device for my kitchen. It has made cooking easier and oil free. It helps us maintain the health factor of food using bare minimum or no oil. It helps to cook a variety of dishes.
57,Pravesh Aggarwal,27 October 2020,4.0 out of 5 stars,Truly amazing product,Bought this product less than a month ago and tried it a couple of times.. I'm enjoying lot of frozen and other items which we are able to make absolutely non-sticky and non-oily. Fully recommend this product. It's so easy to use and it doesn't spoil the flavour of the items.
58,Mithu Kakoti,20 March 2021,5.0 out of 5 stars,Happy Customer,Really happy with the purchase. Its looks great and brings a feel good factor when u enter your kitchen. Functions are easy to use. Loves the rotisserie function. Thank u Inalsaand Amazon.
59,Jal,27 November 2020,5.0 out of 5 stars,Insala OTG,"Working well, have used it to make different things have No problem good very good."
